,Model,Drive,Price,VIN
0,2024 COROLLA HYBRID LE,Front Wheel DriveAutomatic1.8L 4cyl.,"$28,673",JTDBCMFE0R3000000
1,2024 COROLLA SE UPGRADE,Front Wheel DriveAutomatic2L 4cyl.,"$30,683",5YFB4MBE2RP199097
2,2024 COROLLA CROSS LE FWD,Front Wheel DriveAutomatic2L 4cyl.,"$31,743",7MUCAAAG7RV092221
3,2024 CAMRY SE UPGRADE,Front Wheel DriveAutomatic2.5L 4cyl.,"$2,500.00",4T1S11AK1RU259982
4,2024 RAV4 LE,All Wheel DriveAutomatic2.5L 4cyl.,"$35,203",2T3B1RFV1RC451929
5,2024 RAV4 LE,All Wheel DriveAutomatic2.5L 4cyl.,"$35,203",2T3B1RFV0PC000000
6,2024 RAV4 LE,All Wheel DriveAutomatic2.5L 4cyl.,"$35,203",2T3B1RFV6RC448783
7,2024 RAV4 XLE,All Wheel DriveAutomatic2.5L 4cyl.,"$38,903",2T3R1RFV0PC000000
8,2024 COROLLA CROSS HYBRID XSE,All Wheel DriveAutomatic2L 4cyl.,"$39,403",7MUFBABG0RV034895
9,2024 RAV4 XLE PREMIUM,All Wheel DriveAutomatic2.5L 4cyl.,"$40,943",2T3R1RFV4RC447968
10,2024 RAV4 HYBRID XLE,All Wheel DriveAutomatic2.5L 4cyl.,"$41,103",2T3RWRFV0PW000000
11,2024 RAV4 XLE PREMIUM,All Wheel DriveAutomatic2.5L 4cyl.,"$41,198",2T3R1RFV0PW000000
